"","x"
"1007_s_at",0.0250644264056844
"1053_at",0.150204915688938
"117_at",0.428650916210816
"121_at",0.110543096518884
"1255_g_at",0
"1294_at",0.243988531735208
"1316_at",0.021675074267381
"1320_at",0
"1405_i_at",0.572479294543297
"1431_at",0
"1438_at",0
"1487_at",0.0753297275014131
"1494_f_at",0.0014769282051381
"1552256_a_at",0.0687396197577333
"1552257_a_at",0.138251177226124
"1552258_at",0.0679223992062916
"1552261_at",0
"1552263_at",0.356415400347001
"1552264_a_at",0.456165927216319
"1552266_at",0
"1552269_at",0
"1552271_at",0.0812327480304244
"1552272_a_at",0
"1552274_at",0.369522178356987
"1552275_s_at",0.250931562386781
"1552276_a_at",1.44029374493617e-05
"1552277_a_at",0.0138913217009991
"1552278_a_at",0
"1552279_a_at",0.0143197762431882
"1552280_at",0
"1552281_at",0.000359424270545596
"1552283_s_at",0.0158158604692193
"1552286_at",0.0481918284766242
"1552287_s_at",0.189934492450715
"1552288_at",0
"1552289_a_at",0
"1552291_at",0.204996587059807
"1552293_at",0
"1552295_a_at",0.00597392319293712
"1552296_at",0
"1552299_at",0.000368239116903629
"1552301_a_at",0.0175381448184834
"1552302_at",0.0921601938637934
"1552303_a_at",0.151947038060444
"1552304_at",0.00211961319423003
"1552306_at",0
"1552307_a_at",0.0782438186547378
"1552309_a_at",0.148928469817151
"1552310_at",0.160838386257994
"1552311_a_at",0.0677107436162399
"1552312_a_at",0.0465452959644203
"1552314_a_at",0.00920557501163289
"1552315_at",0.310520473107492
"1552316_a_at",0.328093513076812
"1552318_at",0.393317574451952
"1552319_a_at",0
"1552320_a_at",0.00331985746584249
"1552321_a_at",0.000737699727500695
"1552322_at",0.00031107422813667
"1552323_s_at",0.00293265817174223
"1552325_at",0.000425029680415066
"1552326_a_at",7.60195471992199e-05
"1552327_at",0.000220062683972798
"1552329_at",0.0664818354041064
"1552330_at",0.0793983096281954
"1552332_at",0.145480381840701
"1552334_at",0.234164282426097
"1552335_at",0.0464536661813166
"1552337_s_at",0
"1552338_at",0
"1552340_at",0
"1552343_s_at",0.181110724486977
"1552344_s_at",0.099788250351879
"1552347_at",0.268712043014167
"1552348_at",0.225114150212527
"1552349_a_at",0.0301893036520518
"1552354_at",0.00686531133580643
"1552355_s_at",0
"1552359_at",0
"1552360_a_at",0.103536312777896
"1552362_a_at",0.142246586605531
"1552364_s_at",0.015240971024262
"1552365_at",0
"1552367_a_at",0
"1552368_at",0
