"","x"
"1007_s_at",0.0250644264056844
"1053_at",0.151934177418684
"117_at",0.345892187420802
"121_at",0.124439821655998
"1255_g_at",0
"1294_at",0.240127922348348
"1316_at",0.00759862816117787
"1320_at",0
"1405_i_at",0.448259153759421
"1431_at",0
"1438_at",0.000142577311355233
"1487_at",0.0745079342891133
"1494_f_at",0.00331921581667249
"1552256_a_at",0.0670023050848842
"1552257_a_at",0.13015129207311
"1552258_at",0.0421244447139273
"1552261_at",0.000610327912949134
"1552263_at",0.292436885852196
"1552264_a_at",0.41379024666827
"1552266_at",0
"1552269_at",0.000225801820165794
"1552271_at",0.0823467369533635
"1552272_a_at",0
"1552274_at",0.304220554244796
"1552275_s_at",0.224822285548375
"1552276_a_at",0
"1552277_a_at",0.0138913217009991
"1552278_a_at",6.93057781843633e-05
"1552279_a_at",0.0399574878076434
"1552280_at",0
"1552281_at",0.000359424270545596
"1552283_s_at",0.0158158604692193
"1552286_at",0.0520433898553133
"1552287_s_at",0.181920270843163
"1552288_at",8.3363752627511e-05
"1552289_a_at",0
"1552291_at",0.150273047669574
"1552293_at",0
"1552295_a_at",0.000763015763179324
"1552296_at",0
"1552299_at",0.00268284060143269
"1552301_a_at",0.01730446986633
"1552302_at",0.0926177455279793
"1552303_a_at",0.152172951191136
"1552304_at",0
"1552306_at",0
"1552307_a_at",0.0750136213554966
"1552309_a_at",0.148373721546369
"1552310_at",0.158140112523946
"1552311_a_at",0.0677540214573967
"1552312_a_at",0.0406516012049224
"1552314_a_at",0
"1552315_at",0.422192941711904
"1552316_a_at",0.380893385074497
"1552318_at",0.450348814867897
"1552319_a_at",0
"1552320_a_at",0
"1552321_a_at",0.000811537693539241
"1552322_at",0.000453622773024818
"1552323_s_at",0.00293265817174223
"1552325_at",0.000450729187457274
"1552326_a_at",4.22504981180891e-05
"1552327_at",0.000220062683972798
"1552329_at",0.0179618414233615
"1552330_at",0.0250467144798848
"1552332_at",0.105863450744109
"1552334_at",0.201778402708657
"1552335_at",0.0469907362576228
"1552337_s_at",0
"1552338_at",0
"1552340_at",0
"1552343_s_at",0.174706779054524
"1552344_s_at",0.0947500113450553
"1552347_at",0.253706285467082
"1552348_at",0.365738585659551
"1552349_a_at",0.140757266983007
"1552354_at",0.00702213245528403
"1552355_s_at",0.000380420578483972
"1552359_at",0
"1552360_a_at",0.0928094445006768
"1552362_a_at",0.13162682863065
"1552364_s_at",0.008276135014609
"1552365_at",0
"1552367_a_at",7.61183139599084e-05
"1552368_at",0
"1552370_at",0.011290057197174
"1552372_at",0.000279446298953071
"1552373_s_at",2.64930938024947e-05
"1552375_at",0.0586478331608405
"1552377_s_at",0.00041044378755205
"1552378_s_at",0.000221142384801748
"1552379_at",0
"1552381_at",0.000194605167963658
"1552383_at",0.0846378980975935
"1552384_a_at",0
"1552386_at",0.367904538334341
"1552388_at",0.0754957446615017
"1552389_at",9.60984640278904e-05
"1552390_a_at",0
"1552391_at",0.00904066967419201
"1552393_at",0
