"","x"
"1007_s_at",0.359478668502333
"1053_at",0.377116343826853
"117_at",0.668629670230124
"121_at",0.375030903137996
"1255_g_at",0.0510377236692346
"1294_at",0.52140956280172
"1316_at",0.287270463986353
"1320_at",0.120455561965265
"1405_i_at",0.70148630410174
"1431_at",0.08602562658355
"1438_at",0.164003057511875
"1487_at",0.461005527803418
"1494_f_at",0.180742807328201
"1552256_a_at",0.400273697241996
"1552257_a_at",0.380204426278875
"1552258_at",0.244128908691484
"1552261_at",0.149743085330153
"1552263_at",0.586251505934747
"1552264_a_at",0.58069751572156
"1552266_at",0.0397590391158441
"1552269_at",0.0818421323679113
"1552271_at",0.162955179922154
"1552272_a_at",0.240624287417789
"1552274_at",0.387007047366893
"1552275_s_at",0.413799277102151
"1552276_a_at",0.237043723247733
"1552277_a_at",0.333824896372261
"1552278_a_at",0.116106040147811
"1552279_a_at",0.305023346041338
"1552280_at",0.0920191592918804
"1552281_at",0.27407846025711
"1552283_s_at",0.162504587185951
"1552286_at",0.335077351138466
"1552287_s_at",0.448816000973351
"1552288_at",0.125231400566925
"1552289_a_at",0.135500170204601
"1552291_at",0.379547242554581
"1552293_at",0.16956069538133
"1552295_a_at",0.351342135112657
"1552296_at",0.0904726274754719
"1552299_at",0.14130925945333
"1552301_a_at",0.221410177567135
"1552302_at",0.236405259993424
"1552303_a_at",0.325773031643242
"1552304_at",0.11026585737728
"1552306_at",0.116799623737725
"1552307_a_at",0.33672649254159
"1552309_a_at",0.322971111495321
"1552310_at",0.424578565600929
"1552311_a_at",0.298578706898765
"1552312_a_at",0.272131978472174
"1552314_a_at",0.111768714698633
"1552315_at",0.522011671088382
"1552316_a_at",0.52277611016821
"1552318_at",0.582595059430102
"1552319_a_at",0.125386443001724
"1552320_a_at",0.0870452687302324
"1552321_a_at",0.219194092130569
"1552322_at",0.0925493002584107
"1552323_s_at",0.284326096484663
"1552325_at",0.0477032086990337
"1552326_a_at",0.132160775267531
"1552327_at",0.0753052803454456
"1552329_at",0.332716684226498
"1552330_at",0.384694311363773
"1552332_at",0.366437063977349
"1552334_at",0.421485083726757
"1552335_at",0.324004527940044
"1552337_s_at",0.118529984712537
"1552338_at",0.138576638294441
"1552340_at",0.13196126479552
