"","x"
"1007_s_at",0.410822137375813
"1053_at",0.412288360992593
"117_at",0.648568558265853
"121_at",0.441646414313387
"1255_g_at",0.090616618861299
"1294_at",0.520915625437664
"1316_at",0.338024486100526
"1320_at",0.159016818984548
"1405_i_at",0.730665807084826
"1431_at",0.119809684934741
"1438_at",0.288075250933409
"1487_at",0.495209778714163
"1494_f_at",0.265439525996376
"1552256_a_at",0.382833391849558
"1552257_a_at",0.430564683494718
"1552258_at",0.297436436182091
"1552261_at",0.133349039936353
"1552263_at",0.592119951276211
"1552264_a_at",0.610312856579255
"1552266_at",0.0590277753773333
"1552269_at",0.132186909836199
"1552271_at",0.242111695953583
"1552272_a_at",0.248701665002881
"1552274_at",0.47823428401134
"1552275_s_at",0.425257838778322
"1552276_a_at",0.25556258378822
"1552277_a_at",0.30314545561726
"1552278_a_at",0.146802959115018
"1552279_a_at",0.29323250126323
"1552280_at",0.10291683226288
"1552281_at",0.330981973792377
"1552283_s_at",0.127034607558597
"1552286_at",0.297053054613051
"1552287_s_at",0.417565946879082
"1552288_at",0.155050935788732
"1552289_a_at",0.193427811094911
"1552291_at",0.457835222220544
"1552293_at",0.240952701392484
"1552295_a_at",0.355062712986026
"1552296_at",0.12952458098942
"1552299_at",0.142623803867168
"1552301_a_at",0.204014221541475
"1552302_at",0.341760978462622
"1552303_a_at",0.37735005006549
"1552304_at",0.142706698356576
"1552306_at",0.107029504041888
"1552307_a_at",0.315867905597553
"1552309_a_at",0.379590626768862
"1552310_at",0.39577786268008
"1552311_a_at",0.344737381244066
"1552312_a_at",0.295289069719482
"1552314_a_at",0.204715245818421
"1552315_at",0.519151683351098
"1552316_a_at",0.608177049234802
"1552318_at",0.611396955825722
"1552319_a_at",0.163468004303077
"1552320_a_at",0.0974396100216499
"1552321_a_at",0.151178469068911
"1552322_at",0.0870970314272867
"1552323_s_at",0.258698274178646
"1552325_at",0.0452419930425459
"1552326_a_at",0.139627210017079
"1552327_at",0.115381370371804
"1552329_at",0.324993507109683
"1552330_at",0.354581924443664
"1552332_at",0.404759267143856
"1552334_at",0.402514726821108
"1552335_at",0.402047969555147
"1552337_s_at",0.202254645228145
"1552338_at",0.193037905390571
"1552340_at",0.224544401892853
"1552343_s_at",0.405837705651633
"1552344_s_at",0.304829182301232
"1552347_at",0.440185547363245
"1552348_at",0.417993861627479
"1552349_a_at",0.301100903780293
"1552354_at",0.190009450707769
"1552355_s_at",0.307569657471271
"1552359_at",0.0709908430357725
"1552360_a_at",0.406596232700089
"1552362_a_at",0.341388762500995
"1552364_s_at",0.317332036193355
"1552365_at",0.073125278756083
"1552367_a_at",0.0845425964330665
"1552368_at",0.0450855061570287
"1552370_at",0.302488039783562
"1552372_at",0.0588633414901411
"1552373_s_at",0.0428183314543598
"1552375_at",0.356458546342073
"1552377_s_at",0.401662593889319
"1552378_s_at",0.224449764297117
"1552379_at",0.0815326447125555
"1552381_at",0.0752916385625442
"1552383_at",0.222626656312413
"1552384_a_at",0.22315872106779
"1552386_at",0.622896526906786
"1552388_at",0.323664145846148
"1552389_at",0.0530712231901004
"1552390_a_at",0.109199428124284
"1552391_at",0.0779914665533325
"1552393_at",0.0510736536839413
"1552394_a_at",0.0707112080033937
"1552395_at",0.39746721742761
"1552396_at",0.226978421552231
"1552398_a_at",0.66985359335048
"1552399_a_at",0.152263602138985
"1552400_a_at",0.193033048107842
"1552401_a_at",0.136272025154103
"1552402_at",0.126792838004345
"1552405_at",0.16524568900027
"1552408_at",0.146323724952061
"1552409_a_at",0.323274776503388
"1552410_at",0.193278076532435
"1552411_at",0.376991638211235
"1552412_a_at",0.108332284043948
"1552414_at",0.126504988791665
"1552415_a_at",0.206169892160364
"1552417_a_at",0.213116977756221
"1552418_at",0.236235460076477
"1552419_s_at",0.237082191929212
"1552421_a_at",0.1373410295886
"1552422_at",0.13583600532303
"1552423_at",0.34866353992833
"1552424_at",0.114113960704009
"1552425_a_at",0.24236990623972
"1552426_a_at",0.565694340054149
"1552427_at",0.0891218211380368
"1552430_at",0.0535591488598177
"1552432_at",0.280873514529139
"1552436_a_at",0.192269215725731
"1552438_a_at",0.103719805876519
"1552439_s_at",0.0619340927230674
"1552440_at",0.109164970412678
"1552445_a_at",0.140913715731134
"1552448_a_at",0.127541977052876
"1552449_a_at",0.202306886495414
"1552450_a_at",0.20659901137495
"1552452_at",0.112636875057699
"1552453_a_at",0.121052505649281
"1552455_at",0.142438182790271
"1552456_a_at",0.163173335905681
"1552457_a_at",0.0950955041038391
"1552458_at",0.0500015161123786
"1552459_a_at",0.218747858401405
"1552461_at",0.0715208620229012
"1552463_at",0.111110033186145
"1552466_x_at",0.0640712279883281
"1552467_at",0.343783960686359
"1552468_a_at",0.210162046063117
"1552470_a_at",0.146980431287248
"1552472_a_at",0.484911297814052
"1552473_at",0.390693021438551
"1552474_a_at",0.359315172972183
"1552476_s_at",0.233359641766409
"1552477_a_at",0.09564701633248
"1552478_a_at",0.114378395076316
"1552480_s_at",0.484619703578372
"1552481_s_at",0.178522481978559
"1552482_at",0.087043605138902
"1552484_at",0.357619463671879
"1552485_at",0.400535488452205
"1552486_s_at",0.461500628875512
"1552487_a_at",0.0829006715191843
"1552489_s_at",0.0383379726472238
"1552490_at",0.131617401407255
"1552491_at",0.226358266107624
"1552493_s_at",0.18432148624843
"1552494_at",0.193413043167656
"1552496_a_at",0.0945872987196479
"1552497_a_at",0.426561254428229
